proxy,n_events,overlap_original,original_recall,jaccard
equal_weight_mean,607,461,0.8351449275362319,0.660458452722063
median,611,552,1.0,0.9034369885433715
trimmed_mean_10pct,603,474,0.8586956521739131,0.6960352422907489
winsorized_mean_2pct,599,458,0.8297101449275363,0.6608946608946609
