model,n_train,n_val,n_test,test_prevalence,PR_AUC,ROC_AUC,Brier,LogLoss,best_iteration
M0_event_position,10135,7997,17292,0.043661808928984504,0.24483048324230067,0.8256204929984418,0.03751957837004736,0.15126343694530778,178
M1_plus_profile,10135,7997,17292,0.043661808928984504,0.2428246005887701,0.8284402585893084,0.03747028266987755,0.15098356659495304,123
M2_plus_behavior,10135,7997,17292,0.043661808928984504,0.2531525978441971,0.8312568204471851,0.036962907876560994,0.14594481955915764,382
M3_profile_behavior,10135,7997,17292,0.043661808928984504,0.25630113399331156,0.8257813203945237,0.0368714840064088,0.14643056468775628,380
M4_plus_prior_shocks,10135,7997,17292,0.043661808928984504,0.2862091432936003,0.8397764274933152,0.036253262205557774,0.14206602622419398,131
R1_risk_only,10135,7997,17292,0.043661808928984504,0.24372272687366422,0.826934303850847,0.03743521067530698,0.15072962262696687,168
R2_behavior_plus_risk,10135,7997,17292,0.043661808928984504,0.2654446273579417,0.8301615442313384,0.03679018297228034,0.14606994263533693,326
