comparison,metric,mean_diff,ci_low,ci_high,bootstrap_draws
M1_plus_profile minus M0_event_position,PR_diff,-0.0023388169206116066,-0.019240917804230016,0.012901585807884253,300
M1_plus_profile minus M0_event_position,Brier_diff,-5.448084365287394e-05,-0.0003121034361337123,0.00016978928004419998,300
M1_plus_profile minus M0_event_position,AUC_diff,0.002989788369647318,-0.0037989573579423007,0.009875820894909402,300
M4_plus_prior_shocks minus M3_profile_behavior,PR_diff,0.03083497604667326,0.013947419949762601,0.04815370227226103,300
M4_plus_prior_shocks minus M3_profile_behavior,Brier_diff,-0.0006240701836764724,-0.0009309753147014419,-0.00034056526516572307,300
M4_plus_prior_shocks minus M3_profile_behavior,AUC_diff,0.01436250956299908,0.004652185655629909,0.02441966444553627,300
R1_risk_only minus M0_event_position,PR_diff,-0.0011304562337275115,-0.016519959387376923,0.013924721563876963,300
R1_risk_only minus M0_event_position,Brier_diff,-8.459431650343457e-05,-0.0002900822590280993,0.00016372983888926344,300
R1_risk_only minus M0_event_position,AUC_diff,0.0013840802430956064,-0.003864435732007659,0.005709436649534609,300
R2_behavior_plus_risk minus M2_plus_behavior,PR_diff,0.011559085361245386,0.000611766688859658,0.023484257543651507,300
R2_behavior_plus_risk minus M2_plus_behavior,Brier_diff,-0.00015905723315307258,-0.00034462693944917536,1.6618880225754504e-05,300
R2_behavior_plus_risk minus M2_plus_behavior,AUC_diff,-0.0011728834311953219,-0.006689258567553679,0.003981445290750809,300
