feature,importance
log_days_since_asset_trade,19.289980705008652
prior_action_rate_smoothed,13.507803534532831
log_days_since_any_trade,8.513937116597257
raw_return,5.852109295048149
log_prior_transactions,4.3088941244031025
abnormal_return,4.278838764634064
prior_buy_share,3.7389144125748377
log_position_value,3.6250446031213426
log_prior_transactions_90d,3.5889223851560548
sector,3.244103575400646
prior_mean_log_value,2.9914622486723945
log_asset_prior_trades,2.807819002333138
investmentCapacity,2.7700299626628424
market_return,2.6904718218580674
questionnaire_age_days,2.683040981221465
asset_prior_buys,2.309712756846538
log_units_before,2.2602302906161453
log_prior_shock_exposures,2.088596206294227
broad_shock,1.9568837728841566
riskLevel,1.8837796006171628
log_prior_unique_assets,1.8098009674723692
customerType,1.3609187105610236
prior_internet_share,1.2286970104161208
prior_sell_rate_smoothed,0.6204796621321735
prior_stock_share,0.3688137999018369
asset_prior_sells,0.22071468903342878
