model,n_train,n_val,n_test,test_prevalence,PR_AUC,ROC_AUC,Brier,LogLoss,best_iteration,BalancedAcc_05,MacroF1_05
M0_event_position,974,753,755,0.40794701986754967,0.4576831640198882,0.5664640169673727,0.2607968931968594,0.7148117369027042,0,0.5,0.28974600188146754
M1_plus_profile,974,753,755,0.40794701986754967,0.4463718802158015,0.5743157848862547,0.2596909209084178,0.7127404145153275,1,0.5265587320956449,0.35921627446118365
M2_plus_behavior,974,753,755,0.40794701986754967,0.49695635185712395,0.6188660332955634,0.2551161479411748,0.7038963764366235,345,0.5709164996077748,0.49558617366161395
M3_profile_behavior,974,753,755,0.40794701986754967,0.47845546504685355,0.6156410703390569,0.26076455709913976,0.7163485562793226,69,0.5786375257851768,0.504390827401097
M4_plus_prior_shocks,974,753,755,0.40794701986754967,0.5016996798294626,0.6337923821145297,0.25613481817771383,0.7060827732736459,117,0.58155742467823,0.4981763080225876
