term,coef,se_2way,p,OR,OR_low,OR_high
Intercept,-3.3277384940749637,0.17269494088313547,0.0,0.03587414298616927,0.02557293845519588,0.050324843867546855
"C(riskLevel, Treatment(reference='Conservative'))[T.Aggressive]",0.10905964778784431,0.13589028761424413,0.4222310591863496,1.1152288692925674,0.8544602329144391,1.4555802400088045
"C(riskLevel, Treatment(reference='Conservative'))[T.Balanced]",0.1439266787576254,0.12449836880171515,0.247659590567598,1.154799434091533,0.9047558740582742,1.4739464768506518
"C(riskLevel, Treatment(reference='Conservative'))[T.Income]",0.08512238850251716,0.12942030850891367,0.5107177546396118,1.0888503213041063,0.844896270322552,1.4032432901513894
C(investmentCapacity)[T.CAP_80K_300K],-0.020193638300714627,0.08021638428388543,0.801242367219098,0.9800088876767699,0.8374298738566852,1.1468630985211572
C(investmentCapacity)[T.CAP_GT300K],-0.298169031129441,0.1887409813921401,0.11415749579620882,0.7421758783176736,0.5126810537955864,1.07440099507994
C(investmentCapacity)[T.CAP_LT30K],0.13489372512172498,0.060843456180967696,0.026618843301186246,1.1444151553070467,1.0157635046092626,1.2893611965319165
C(investmentCapacity)[T.Predicted_CAP_30K_80K],-16.419628788322697,1.0477196448572925,0.0,7.396833147929913e-08,9.48874675821258e-09,5.766108213496173e-07
C(investmentCapacity)[T.Predicted_CAP_80K_300K],-0.4395426706667829,0.14048542673010128,0.001755563139118621,0.6443310251905782,0.48924391653118926,0.848579728832816
C(customerType)[T.Premium],-0.2311556020742863,0.05815770565627378,7.048752795690838e-05,0.7936159681363986,0.7081178777423853,0.8894370904588363
broad_shock[T.True],-0.021191502535783606,0.14721403128917687,0.8855397233059363,0.9790314596090679,0.7336442771606182,1.3064950259189645
raw_return_z,-0.3928938670928239,0.22877122567570338,0.08590438445506687,0.6751003941515038,0.43115592928740026,1.0570666230585795
abnormal_return_z,0.21068956367814007,0.2787617386148929,0.44976601563201424,1.234529052910603,0.7148493598520501,2.1320044027118947
market_return_z,0.060176826789243666,0.06658733959004363,0.36613977915741946,1.0620243242941658,0.9320821179334986,1.2100818626293521
log_position_value_z,0.28765033394573136,0.047646904646703986,1.5688390586632295e-09,1.3332910159968152,1.2144149046399964,1.463803619789066
log_asset_prior_trades_z,0.05338554544012796,0.034773134475621734,0.1247217900680182,1.0548362540390381,0.9853387403156314,1.1292355383070476
log_days_since_asset_trade_z,-0.4393835988033473,0.04582734022304506,0.0,0.6444335282798871,0.5890729873292557,0.7049968022708532
log_prior_transactions_z,0.3855275403895845,0.08292104800365949,3.3301066617585917e-06,1.470389806884778,1.2498234312070426,1.729881301795258
prior_buy_share_z,-0.018507136110648144,0.03311091482908369,0.5762001674158068,0.9816630693105145,0.9199789136239802,1.0474831187728877
prior_internet_share_z,-0.008094186646577014,0.024735413662166594,0.7434934051631097,0.9919384830777859,0.9449950426034555,1.041213879281213
log_prior_transactions_90d_z,0.3566681230338352,0.05814969205040933,8.590148592446667e-10,1.4285616844548075,1.2746794390104597,1.601020949923403
log_prior_unique_assets_z,-0.28491245259231807,0.07424034858856923,0.00012419025827981045,0.7520800940998972,0.6502336391533873,0.8698788156788698
log_days_since_any_trade_z,-0.21683734855798445,0.05615745931811325,0.00011281367514826002,0.8050609029732168,0.7211515505687324,0.8987335005865442
prior_action_rate_smoothed_z,0.3017796153897014,0.03014416766062091,0.0,1.3522631758747437,1.2746823964739484,1.4345657411486978
questionnaire_age_days_z,-0.04230687823949232,0.035443674427523414,0.2326200268860097,0.9585755694481249,0.8942441165031971,1.02753499339295
