year,exposures,actions,action_rate,buy_rate,sell_rate
2019,390,28,0.07179487179487179,0.04358974358974359,0.028205128205128206
2020,9745,946,0.09707542329399692,0.06300667008722421,0.0340687532067727
2021,7997,753,0.09416031011629361,0.04276603726397399,0.05139427285231962
2022,17292,755,0.043661808928984504,0.025850104094378903,0.017811704834605598
