term,coef,se_2way,p,OR,OR_low,OR_high
Intercept,0.43146758474851854,0.3082463055381582,0.16158837161809414,1.5395152355309998,0.8413940544525476,2.816881279217237
"C(riskLevel, Treatment(reference='Conservative'))[T.Aggressive]",-0.3999473727594289,0.315619982826923,0.2050908867707406,0.670355324058246,0.36111365402636675,1.2444178044301386
"C(riskLevel, Treatment(reference='Conservative'))[T.Balanced]",-0.4699636512241228,0.2902181024979046,0.10537274378584671,0.6250249867629654,0.3538822203374712,1.1039159687240152
"C(riskLevel, Treatment(reference='Conservative'))[T.Income]",-0.5109818419761996,0.28069939438384084,0.06869992077052989,0.5999062763947323,0.346056696383431,1.0399669887012886
C(investmentCapacity)[T.CAP_80K_300K],-0.3885008938572603,0.17439812187872888,0.025902747193691456,0.6780726157794816,0.4817542196417233,0.9543922056603158
C(investmentCapacity)[T.CAP_GT300K],-0.9969406538263615,0.30077053756758576,0.0009176711107057312,0.36900663509117965,0.2046506484519262,0.6653577585575121
C(investmentCapacity)[T.CAP_LT30K],0.053352939209001395,0.11992981607551392,0.656415138452914,1.0548018603650653,0.8338435365331209,1.3343114336000004
C(investmentCapacity)[T.Predicted_CAP_80K_300K],-20.09625814186549,1.0405199681465598,0.0,1.8720005934718678e-09,2.4355525495073394e-10,1.4388464837960028e-08
C(customerType)[T.Premium],-0.42030727855727573,0.09541295507151104,1.0571632856892776e-05,0.6568449544322416,0.5448108163755635,0.791917636719015
broad_shock[T.True],-0.36805395629932813,0.20469996258910395,0.07217435744297851,0.6920798386143612,0.4633530988837943,1.0337138225045166
raw_return_z,0.30117822514409986,0.6506559093529884,0.6434474999418431,1.3514501824789384,0.3775292019266661,4.837818071824632
abnormal_return_z,-0.3842270220897587,0.6284492005588441,0.5409419843742103,0.6809768128506466,0.19869437175105606,2.333883016179394
market_return_z,0.049072416771449884,0.1721001233576476,0.7755378314178247,1.050296407060983,0.7495788038967516,1.4716565315755066
log_position_value_z,0.420329059529251,0.05710856138042634,1.836308882730009e-13,1.5224624539798335,1.3612403133230855,1.7027793704697263
log_asset_prior_trades_z,-0.120909891910402,0.08125646312409701,0.13675000181958463,0.8861138020174636,0.7556533349419685,1.0390977367765406
log_days_since_asset_trade_z,0.12675756416003478,0.07098161494962284,0.07413485014638654,1.1351417853675185,0.9877097485748382,1.3045804951774504
log_prior_transactions_z,-0.2739399069073606,0.17631999199606063,0.12026745017211615,0.7603777673395928,0.5381988964057198,1.0742763556848485
prior_buy_share_z,-0.4819314333892971,0.0695677942714883,4.283240429003854e-12,0.6175894063253496,0.5388681755973395,0.70781072640353
prior_internet_share_z,0.10677543818896583,0.043417936178474684,0.013922871196395903,1.1126843600070055,1.0219129206205952,1.2115185746475705
log_prior_transactions_90d_z,0.22020833256033295,0.09592917593093474,0.021702750485682376,1.2463363559863083,1.0327107567010243,1.5041523506692156
log_prior_unique_assets_z,0.2577949575285951,0.1091434386705427,0.01817747087375854,1.294073451400737,1.0448505049660561,1.6027422963006743
log_days_since_any_trade_z,0.06883158632094813,0.07496479923333092,0.3585217959015794,1.0712557798283033,0.9248724709883012,1.2408077673554871
prior_sell_rate_smoothed_z,0.21512612151080485,0.05415941902578551,7.124459874052746e-05,1.2400182800831268,1.1151329775976089,1.3788896623369065
questionnaire_age_days_z,-0.12692557071368557,0.047980080108952716,0.00815990909987585,0.8807992274154103,0.8017435160187237,0.9676502067245476
