ISIN,effective_date,issuer,action,source,source_url,screen_window_days
GRS001003037,2021-04-29,ATTICA BANK S.A.,Trading resumption after suspension / adjusted trading conditions,ATHEX Securities Market Information Bulletin and issuer corporate-actions archive,https://www.athexgroup.gr/en/market-data/issuers/50/corporate-actions,1
GRS001003037,2021-09-30,ATTICA BANK S.A.,Reverse share split and adjusted start price,ATHEX Securities Market Information Bulletin 27/09/2021,https://www.athexgroup.gr/en/more-options/announcements/securities-market-information-bulletin-27092021,1
GRS001003037,2021-11-22,ATTICA BANK S.A.,Ex-rights trading / share capital increase price adjustment,ATHEX clarification of ATTICA BANK share-price adjustment,https://www.athexgroup.gr/en/node/704182,1
GRS014003032,2021-04-19,PIRAEUS FINANCIAL HOLDINGS S.A.,Capital restructuring / share capital increase sequence,ATHEX Piraeus issuer corporate-actions archive,https://www.athexgroup.gr/en/market-data/issuers/63/corporate-actions,2
